Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Categorry
Co to jest adres IP 127.0.0.1?,Multiple Choice,Loopback,Podsieć prywatna,Adres routera,Adres serwera DNS,,1,20,,Sieci_komputerowe
Które urządzenie łączy dwie różne sieci LAN?,Multiple Choice,Router,Switch,Hub,Modem,,1,20,,Sieci_komputerowe
Co oznacza skrót NAT?,Multiple Choice,Network Address Translation,Node Access Terminal,Network Allocation Table,Node Address Tracking,,1,20,,Sieci_komputerowe
Który protokół jest używany do bezpiecznego połączenia zdalnego?,Multiple Choice,SSH,Telnet,FTP,HTTP,,1,15,,Sieci_komputerowe
Co to jest maska podsieci 255.255.255.0 w notacji CIDR?,Multiple Choice,/24,/16,/8,/32,,1,20,,Sieci_komputerowe
Które narzędzie służy do testowania połączenia sieciowego?,Multiple Choice,ping,traceroute,nslookup,ipconfig,,1,15,,Sieci_komputerowe
Co oznacza skrót VPN?,Multiple Choice,Virtual Private Network,Vast Public Network,Verified Proxy Network,Variable Port Network,,1,15,,Sieci_komputerowe
Który model warstwowy opisuje komunikację sieciową?,Multiple Choice,OSI,TCP/IP,HTTP,LAN,,1,20,,Sieci_komputerowe
Co to jest adres MAC?,Multiple Choice,Unikalny identyfikator karty sieciowej,Adres IP routera,Adres serwera DNS,Numer portu,,1,20,,Sieci_komputerowe
Który protokół jest używany do przesyłania plików?,Multiple Choice,FTP,SFTP,HTTP,SMTP,,1,15,,Sieci_komputerowe
Co oznacza skrót DHCP?,Multiple Choice,Dynamic Host Configuration Protocol,Direct Host Control Protocol,Distributed Host Connection Protocol,Data Handling Control Protocol,,1,20,,Sieci_komputerowe
Które urządzenie działa w warstwie fizycznej modelu OSI?,Multiple Choice,Hub,Router,Switch,Firewall,,1,20,,Sieci_komputerowe
Co to jest SSD?,Multiple Choice,Dysk półprzewodnikowy,Dysk twardy HDD,Karta graficzna,Pamięć RAM,,1,15,,Urządzenia_techniki_komputerowej
Który port służy do podłączenia monitora DisplayPort?,Multiple Choice,DisplayPort,HDMI,VGA,USB,,1,20,,Urządzenia_techniki_komputerowej
Co oznacza skrót GPU?,Multiple Choice,Graphics Processing Unit,General Processing Unit,Game Performance Unit,Graphical Power Unit,,1,15,,Urządzenia_techniki_komputerowej
Który typ pamięci jest najszybszy?,Multiple Choice,Pamięć podręczna CPU (Cache),Pamięć RAM,Dysk SSD,Dysk HDD,,1,20,,Urządzenia_techniki_komputerowej
Co to jest RAID 0?,Multiple Choice,Striping (zwiększa wydajność),Mirroring (kopiuje dane),Parity (redundancja),Backup,,1,20,,Urządzenia_techniki_komputerowej
Który element odpowiada za zasilanie komponentów komputera?,Multiple Choice,Zasilacz (PSU),Płyta główna,Karta graficzna,Procesor,,1,15,,Urządzenia_techniki_komputerowej
Co oznacza skrót NVMe w kontekście dysków?,Multiple Choice,Non-Volatile Memory Express,New Virtual Machine Engine,Network Video Management Extension,Next-Gen Volume Manager,,1,20,,Urządzenia_techniki_komputerowej
Który typ chłodzenia jest najcichszy?,Multiple Choice,Chłodzenie pasywne (radiator),Chłodzenie wodne,Chłodzenie powietrzne z wentylatorem,Chłodzenie azotem,,1,20,,Urządzenia_techniki_komputerowej
Co to jest overclocking?,Multiple Choice,Podkręcanie komponentów powyżej fabrycznych parametrów,Zmniejszanie napięcia CPU,Optymalizacja systemu operacyjnego,Wymiana karty graficznej,,1,20,,Urządzenia_techniki_komputerowej
Który interfejs służy do podłączenia dysku HDD w starszych komputerach?,Multiple Choice,SATA,IDE,NVMe,M.2,,2,25,,Urządzenia_techniki_komputerowej
Co oznacza skrót UPS?,Multiple Choice,Uninterruptible Power Supply,Universal Power System,Ultra Performance Storage,USB Power Station,,1,15,,Urządzenia_techniki_komputerowej
Który element płyty głównej łączy procesor z pamięcią RAM?,Multiple Choice,Northbridge,Southbridge,Chipset GPU,BIOS,,1,20,,Urządzenia_techniki_komputerowej
Co to jest thermal paste?,Multiple Choice,Pasta termoprzewodząca,Pasta izolacyjna,Pasta czyszcząca,Pasta lutownicza,,1,15,,Urządzenia_techniki_komputerowej
Który typ złącza jest używany w kartach graficznych PCIe?,Multiple Choice,PCI Express x16,PCI Express x1,AGP,SATA,,1,20,,Urządzenia_techniki_komputerowej
Co oznacza skrót TPM w kontekście bezpieczeństwa?,Multiple Choice,Trusted Platform Module,Total Power Management,Thermal Protection Mode,Transfer Protocol Module,,1,20,,Urządzenia_techniki_komputerowej
Który język programowania jest używany do tworzenia stron internetowych po stronie klienta?,Multiple Choice,JavaScript,Python,Java,C++,,1,15,,Informatyka
Co oznacza skrót SQL?,Multiple Choice,Structured Query Language,Standard Query Language,System Query Language,Simple Query Language,,1,20,,Informatyka
Który algorytm sortowania ma złożoność O(n log n)?,Multiple Choice,QuickSort,BubbleSort,InsertionSort,SelectionSort,,1,20,,Informatyka
Co to jest Big O notation?,Multiple Choice,Miara złożoności obliczeniowej,Typ danych w Pythonie,Narzędzie do debugowania,Format kompresji danych,,1,20,,Informatyka
Który model w inżynierii oprogramowania dzieli projekt na fazy?,Multiple Choice,Waterfall,Agile,Scrum,Kanban,,1,20,,Informatyka
Co oznacza skrót API?,Multiple Choice,Application Programming Interface,Advanced Program Interface,Automated Process Integration,Application Protocol Interface,,1,15,,Informatyka
Który język jest używany do stylizacji stron internetowych?,Multiple Choice,CSS,HTML,JavaScript,PHP,,1,15,,Informatyka
Co to jest Git?,Multiple Choice,System kontroli wersji,Język programowania,Baza danych,Framework frontendowy,,1,15,,Informatyka
Który typ danych w Pythonie jest niemutowalny (immutable)?,Multiple Choice,Tuple,List,Dictionary,Set,,1,20,,Informatyka
Co oznacza skrót REST?,Multiple Choice,Representational State Transfer,Remote System Transfer,Resource Storage Technology,Request State Terminal,,1,20,,Informatyka
Który paradygmat programowania opiera się na obiektach?,Multiple Choice,Obiektowy,Funkcyjny,Imperatywny,Logiczny,,1,15,,Informatyka
Co to jest machine learning?,Multiple Choice,Uczenie maszynowe,Programowanie niskopoziomowe,Analiza danych w czasie rzeczywistym,Automatyzacja procesów,,1,20,,Informatyka
Który algorytm służy do kompresji danych bezstratnej?,Multiple Choice,Huffman,LZW,MP3,JPEG,,1,20,,Informatyka
Co oznacza skrót IoT?,Multiple Choice,Internet of Things,Input/Output Terminal,Integrated Optimization Tool,Intelligent Operation Technology,,1,15,,Informatyka
Który język programowania jest używany w analizie danych?,Multiple Choice,Python,R,Java,C#,,1,15,,Informatyka
